000001 CLNT S0 built
000002 TIMR S0 reset time: lStart 0, lEnd 0
000003 CLNT S1 built
000003 TIMR S1 reset time: lStart 0, lEnd 0
000004 CLNT S2 built
000004 TIMR S2 reset time: lStart 0, lEnd 0
Test (2D): install snapshots (disconnect+unreliable) ...
000005 CMIT S2 applier wait, lastApplied log[0] = (C <nil>, T 0)
000006 CMIT S1 applier wait, lastApplied log[0] = (C <nil>, T 0)
000004 CMIT S0 applier wait, lastApplied log[0] = (C <nil>, T 0)
000071 TIMR S2 term 0 Follower ticking, cmtIdx 0
000071 TIMR S0 term 0 Follower ticking, cmtIdx 0
000072 TIMR S1 term 0 Follower ticking, cmtIdx 0
000129 TIMR S0 term 0 Follower ticking, cmtIdx 0
000130 TIMR S2 term 0 Follower ticking, cmtIdx 0
000130 TIMR S1 term 0 Follower ticking, cmtIdx 0
000191 TIMR S2 term 0 Follower ticking, cmtIdx 0
000192 TIMR S0 term 0 Follower ticking, cmtIdx 0
000192 TIMR S1 term 0 Follower ticking, cmtIdx 0
000261 TIMR S0 term 0 Follower ticking, cmtIdx 0
000261 TIMR S2 term 0 Follower ticking, cmtIdx 0
000261 TIMR S1 term 0 Follower ticking, cmtIdx 0
000311 TIMR S2 term 0 Follower ticking, cmtIdx 0
000312 TIMR S1 term 0 Follower ticking, cmtIdx 0
000312 TIMR S0 term 0 Follower ticking, cmtIdx 0
000369 TIMR S0 term 0 Follower ticking, cmtIdx 0
000370 TIMR S1 term 0 Follower ticking, cmtIdx 0
000370 TIMR S2 term 0 Follower ticking, cmtIdx 0
000423 TIMR S2 term 0 Follower ticking, cmtIdx 0
000424 TIMR S0 term 0 Follower ticking, cmtIdx 0
000424 TIMR S1 term 0 Follower ticking, cmtIdx 0
000491 TIMR S1 term 0 Follower ticking, cmtIdx 0
000491 TIMR S2 term 0 Follower ticking, cmtIdx 0
000491 TIMR S0 term 0 Follower ticking, cmtIdx 0
000560 TIMR S0 term 0 Follower ticking, cmtIdx 0
000561 TIMR S1 term 0 Follower ticking, cmtIdx 0
000561 TIMR S2 term 0 Follower ticking, cmtIdx 0
000620 TIMR S2 term 0 Follower ticking, cmtIdx 0
000621 TIMR S0 term 0 Follower ticking, cmtIdx 0
000621 TIMR S1 term 0 Follower ticking, cmtIdx 0
000681 TIMR S1 term 0 Follower ticking, cmtIdx 0
000682 TIMR S2 term 0 Follower ticking, cmtIdx 0
000682 TIMR S0 term 0 Follower ticking, cmtIdx 0
000751 TIMR S0 term 0 Follower ticking, cmtIdx 0
000751 TIMR S2 term 0 Follower ticking, cmtIdx 0
